MB_X,MB_Y,MF_X,MF_Y,MFonMB_X,MFonMB_Y,Subj,Choice
-5.6689,-5.157,-5.5093,-3.3569,0.024121,0.0015562,8,1
-5.6689,-5.157,-5.5093,-3.3569,0.024121,0.0015562,8,0
-5.6689,5.843,-3.5093,5.6431,0.024121,0.0015562,8,1
5.3311,-5.157,5.4907,-5.3569,0.024121,0.0015562,8,1
-4.6689,7.843,5.4907,7.6431,0.024121,0.0015562,8,0
-4.6689,-4.157,-4.5093,-1.3569,0.024121,0.0015562,8,1
4.3311,-4.157,-4.5093,-3.3569,0.024121,0.0015562,8,0
-4.6689,7.843,-3.5093,7.6431,0.024121,0.0015562,8,1
4.3311,4.843,4.4907,-3.3569,0.024121,0.0015562,8,0
0.33109,5.843,-3.5093,5.6431,0.024121,0.0015562,8,0
1.3311,5.843,1.4907,5.6431,0.024121,0.0015562,8,0
2.3311,0.84295,-4.5093,0.64311,0.024121,0.0015562,8,1
3.3311,5.843,3.4907,5.6431,0.024121,0.0015562,8,1
3.3311,1.843,3.4907,2.6431,0.024121,0.0015562,8,1
1.3311,1.843,-4.5093,1.6431,0.024121,0.0015562,8,1
1.3311,-6.157,3.4907,-6.3569,0.024121,0.0015562,8,0
2.3311,1.843,2.4907,-4.3569,0.024121,0.0015562,8,0
2.3311,2.843,2.4907,-4.3569,0.024121,0.0015562,8,0
1.3311,-6.157,-4.5093,-6.3569,0.024121,0.0015562,8,1
1.3311,1.843,-2.5093,-4.3569,0.024121,0.0015562,8,0
1.3311,-6.157,-4.5093,1.6431,0.024121,0.0015562,8,1
0.33109,1.843,0.49073,1.6431,0.024121,0.0015562,8,0
0.33109,-6.157,1.4907,0.64311,0.024121,0.0015562,8,0
1.3311,-6.157,1.4907,0.64311,0.024121,0.0015562,8,1
0.33109,5.843,0.49073,5.6431,0.024121,0.0015562,8,1
-0.66891,1.843,-0.50927,1.6431,0.024121,0.0015562,8,0
0.33109,-5.157,0.49073,-5.3569,0.024121,0.0015562,8,1
1.3311,-0.15705,-4.5093,-0.35689,0.024121,0.0015562,8,0
-0.66891,-4.157,-0.50927,-4.3569,0.024121,0.0015562,8,0
-1.6689,2.843,-1.5093,2.6431,0.024121,0.0015562,8,0
-0.66891,2.843,0.49073,2.6431,0.024121,0.0015562,8,0
0.33109,-0.15705,2.4907,1.6431,0.024121,0.0015562,8,0
-0.66891,-4.157,1.4907,-4.3569,0.024121,0.0015562,8,0
-0.66891,-0.15705,0.49073,-0.35689,0.024121,0.0015562,8,0
1.3311,1.843,-0.50927,1.6431,0.024121,0.0015562,8,0
-1.6689,0.84295,-0.50927,1.6431,0.024121,0.0015562,8,0
-2.6689,-4.157,-2.5093,-4.3569,0.024121,0.0015562,8,0
0.33109,0.84295,-1.5093,0.64311,0.024121,0.0015562,8,0
0.33109,-4.157,0.49073,-4.3569,0.024121,0.0015562,8,1
-3.6689,0.84295,-3.5093,1.6431,0.024121,0.0015562,8,0
-2.6689,-4.157,-2.5093,-4.3569,0.024121,0.0015562,8,0
2.3311,-4.157,2.4907,-4.3569,0.024121,0.0015562,8,1
0.33109,2.843,-4.5093,2.6431,0.024121,0.0015562,8,1
0.33109,1.843,0.49073,1.6431,0.024121,0.0015562,8,0
-1.6689,1.843,1.4907,1.6431,0.024121,0.0015562,8,1
2.3311,2.843,2.4907,1.6431,0.024121,0.0015562,8,0
1.3311,0.84295,-4.5093,0.64311,0.024121,0.0015562,8,1
-1.6689,1.843,-4.5093,1.6431,0.024121,0.0015562,8,1
1.3311,0.84295,1.4907,0.64311,0.024121,0.0015562,8,1
-1.6689,0.84295,-4.5093,-1.3569,0.024121,0.0015562,8,1
-1.6689,0.84295,-4.5093,-1.3569,0.024121,0.0015562,8,1
-1.6689,-1.157,-4.5093,-1.3569,0.024121,0.0015562,8,0
-0.66891,-1.157,-0.50927,1.6431,0.024121,0.0015562,8,1
-0.66891,-0.15705,-1.5093,-1.3569,0.024121,0.0015562,8,0
-1.6689,-0.15705,1.4907,-1.3569,0.024121,0.0015562,8,1
0.33109,-1.157,0.49073,1.6431,0.024121,0.0015562,8,0
